parameter_A,module_A,parameter_B,module_B,shared_suffix,stage_relationship_pattern,direction_higher_A_minus_B,effect_range_yield_pct,shape_fold_consistency,direction_fold_consistency,evidence_label,reason
SIN_ET_DC_RF_n_gs,SIN,THIN_ET_DC_RF_n_gs,THIN,DC_RF_n_gs,flat,n/a,0.4625,2/5,2/5,INCONCLUSIVE,Main-split shape is 'flat' -- no stable evidence.
FIC_ET_DC_RF_n_gs,FIC,TOPSIN_ET_DC_RF_n_gs,TOPSIN,DC_RF_n_gs,U_shape,n/a,0.9383,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_n_gs,FIC,SIN_ET_DC_RF_n_gs,SIN,DC_RF_n_gs,threshold,positive,0.3781,1/5,0/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 0/5 folds.
FIC_ET_DC_RF_n_gd,FIC,TOPSIN_ET_DC_RF_n_gd,TOPSIN,DC_RF_n_gd,complex_nonmonotonic,n/a,0.6855,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Imax,SIN,TOPSIN_ET_DC_RF_Imax,TOPSIN,DC_RF_Imax,flat,n/a,0.2453,3/5,3/5,INCONCLUSIVE,Main-split shape is 'flat' -- no stable evidence.
THIN_ET_sh_f_hr_23,THIN,TOPSIN_ET_sh_f_hr_23,TOPSIN,sh_f_hr_23,complex_nonmonotonic,n/a,1.264,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
OHMIC_ET_Rc_OG142,OHMIC,THIN_ET_Rc_OG142,THIN,Rc_OG142,complex_nonmonotonic,n/a,1.5462,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_Rc_OG142,FIC,THIN_ET_Rc_OG142,THIN,Rc_OG142,complex_nonmonotonic,n/a,1.3357,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
THIN_ET_Rc_f_tn_23,THIN,TOPSIN_ET_Rc_f_tn_23,TOPSIN,Rc_f_tn_23,complex_nonmonotonic,n/a,1.0381,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_Rc_f_tn_23,FIC,TOPSIN_ET_Rc_f_tn_23,TOPSIN,Rc_f_tn_23,complex_nonmonotonic,n/a,0.9718,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
THIN_ET_Rc_f_hr_23,THIN,TOPSIN_ET_Rc_f_hr_23,TOPSIN,Rc_f_hr_23,complex_nonmonotonic,n/a,0.8163,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_Rc_f_hr_23,FIC,TOPSIN_ET_Rc_f_hr_23,TOPSIN,Rc_f_hr_23,complex_nonmonotonic,n/a,1.0707,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_Rc_f_hr_23,FIC,THIN_ET_Rc_f_hr_23,THIN,Rc_f_hr_23,complex_nonmonotonic,n/a,1.3638,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
THIN_ET_R314,THIN,TOPSIN_ET_R314,TOPSIN,R314,complex_nonmonotonic,n/a,1.0157,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_R314,FIC,TOPSIN_ET_R314,TOPSIN,R314,inverted_U,n/a,1.4417,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Vbgd1,SIN,TOPSIN_ET_DC_RF_Vbgd1,TOPSIN,DC_RF_Vbgd1,complex_nonmonotonic,n/a,0.9216,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Vbgd1,SIN,THIN_ET_DC_RF_Vbgd1,THIN,DC_RF_Vbgd1,U_shape,n/a,1.4152,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vbgd1,FIC,TOPSIN_ET_DC_RF_Vbgd1,TOPSIN,DC_RF_Vbgd1,complex_nonmonotonic,n/a,1.3864,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
FIC_ET_DC_RF_Vbgd1,FIC,THIN_ET_DC_RF_Vbgd1,THIN,DC_RF_Vbgd1,complex_nonmonotonic,n/a,0.9994,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
FIC_ET_DC_RF_Vbgd1,FIC,SIN_ET_DC_RF_Vbgd1,SIN,DC_RF_Vbgd1,complex_nonmonotonic,n/a,1.984,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
THIN_ET_DC_RF_Vbgd_0p1,THIN,TOPSIN_ET_DC_RF_Vbgd_0p1,TOPSIN,DC_RF_Vbgd_0p1,complex_nonmonotonic,n/a,1.057,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Vbgd_0p1,SIN,TOPSIN_ET_DC_RF_Vbgd_0p1,TOPSIN,DC_RF_Vbgd_0p1,inverted_U,n/a,1.124,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Vbgd_0p1,SIN,THIN_ET_DC_RF_Vbgd_0p1,THIN,DC_RF_Vbgd_0p1,complex_nonmonotonic,n/a,0.9133,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vbgd_0p1,FIC,TOPSIN_ET_DC_RF_Vbgd_0p1,TOPSIN,DC_RF_Vbgd_0p1,complex_nonmonotonic,n/a,1.3366,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Vbgd_0p01,SIN,THIN_ET_DC_RF_Vbgd_0p01,THIN,DC_RF_Vbgd_0p01,inverted_U,n/a,1.419,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vbgd_0p01,FIC,TOPSIN_ET_DC_RF_Vbgd_0p01,TOPSIN,DC_RF_Vbgd_0p01,complex_nonmonotonic,n/a,1.1104,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vbgs1,FIC,TOPSIN_ET_DC_RF_Vbgs1,TOPSIN,DC_RF_Vbgs1,complex_nonmonotonic,n/a,0.8778,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vbgs1,FIC,SIN_ET_DC_RF_Vbgs1,SIN,DC_RF_Vbgs1,complex_nonmonotonic,n/a,1.5089,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Vbgs_0p1,SIN,THIN_ET_DC_RF_Vbgs_0p1,THIN,DC_RF_Vbgs_0p1,complex_nonmonotonic,n/a,1.545,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vbgs_0p1,FIC,THIN_ET_DC_RF_Vbgs_0p1,THIN,DC_RF_Vbgs_0p1,complex_nonmonotonic,n/a,1.3813,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vbgs_0p1,FIC,SIN_ET_DC_RF_Vbgs_0p1,SIN,DC_RF_Vbgs_0p1,complex_nonmonotonic,n/a,0.853,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Vbgs_0p01,SIN,TOPSIN_ET_DC_RF_Vbgs_0p01,TOPSIN,DC_RF_Vbgs_0p01,threshold,negative,1.1352,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
SIN_ET_DC_RF_Vbgs_0p01,SIN,THIN_ET_DC_RF_Vbgs_0p01,THIN,DC_RF_Vbgs_0p01,complex_nonmonotonic,n/a,0.8165,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vbgs_0p01,FIC,THIN_ET_DC_RF_Vbgs_0p01,THIN,DC_RF_Vbgs_0p01,complex_nonmonotonic,n/a,0.8198,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
THIN_ET_R214,THIN,TOPSIN_ET_R214,TOPSIN,R214,threshold,n/a,0.4317,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
OHMIC_ET_R214,OHMIC,TOPSIN_ET_R214,TOPSIN,R214,threshold,n/a,0.474,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
OHMIC_ET_R214,OHMIC,THIN_ET_R214,THIN,R214,inverted_U,n/a,0.6878,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_R214,FIC,TOPSIN_ET_R214,TOPSIN,R214,complex_nonmonotonic,n/a,0.5468,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_R214,FIC,THIN_ET_R214,THIN,R214,complex_nonmonotonic,n/a,0.4822,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
OHMIC_ET_R114,OHMIC,THIN_ET_R114,THIN,R114,complex_nonmonotonic,n/a,1.391,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_R114,FIC,THIN_ET_R114,THIN,R114,complex_nonmonotonic,n/a,1.6499,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_R114,FIC,OHMIC_ET_R114,OHMIC,R114,U_shape,n/a,1.1558,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
THIN_ET_R_f_tn_3,THIN,TOPSIN_ET_R_f_tn_3,TOPSIN,R_f_tn_3,complex_nonmonotonic,n/a,0.7958,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
FIC_ET_R_f_tn_3,FIC,TOPSIN_ET_R_f_tn_3,TOPSIN,R_f_tn_3,complex_nonmonotonic,n/a,0.6624,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_R_f_tn_1,FIC,THIN_ET_R_f_tn_1,THIN,R_f_tn_1,complex_nonmonotonic,n/a,1.1,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_R_f_hr_3,FIC,THIN_ET_R_f_hr_3,THIN,R_f_hr_3,threshold,negative,0.5597,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
THIN_ET_R_f_hr_1,THIN,TOPSIN_ET_R_f_hr_1,TOPSIN,R_f_hr_1,U_shape,n/a,1.3749,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
OHMIC_ET_OHMC,OHMIC,THIN_ET_OHMC,THIN,OHMC,complex_nonmonotonic,n/a,1.1536,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_OHMC,FIC,THIN_ET_OHMC,THIN,OHMC,complex_nonmonotonic,n/a,1.7227,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
OHMIC_ET_lkg_5,OHMIC,TOPSIN_ET_lkg_5,TOPSIN,lkg_5,complex_nonmonotonic,n/a,1.7549,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_lkg_5,FIC,TOPSIN_ET_lkg_5,TOPSIN,lkg_5,inverted_U,n/a,1.7018,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_lkg_5,FIC,THIN_ET_lkg_5,THIN,lkg_5,U_shape,n/a,1.5208,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
THIN_ET_HIRS,THIN,TOPSIN_ET_HIRS,TOPSIN,HIRS,complex_nonmonotonic,n/a,1.3415,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Vbin_gs,SIN,TOPSIN_ET_DC_RF_Vbin_gs,TOPSIN,DC_RF_Vbin_gs,complex_nonmonotonic,n/a,1.0296,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
THIN_ET_DC_RF_Vbin_gd,THIN,TOPSIN_ET_DC_RF_Vbin_gd,TOPSIN,DC_RF_Vbin_gd,complex_nonmonotonic,n/a,1.3285,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Vbin_gd,SIN,TOPSIN_ET_DC_RF_Vbin_gd,TOPSIN,DC_RF_Vbin_gd,complex_nonmonotonic,n/a,1.1121,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Vbin_gd,SIN,THIN_ET_DC_RF_Vbin_gd,THIN,DC_RF_Vbin_gd,complex_nonmonotonic,n/a,1.7622,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_Gate_res,FIC,TOPSIN_ET_Gate_res,TOPSIN,Gate_res,complex_nonmonotonic,n/a,1.4418,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_G2_per_6K,FIC,TOPSIN_ET_G2_per_6K,TOPSIN,G2_per_6K,U_shape,n/a,0.8423,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
CATHODE_ET_Rsh_cat_c2_OW_ST,CATHODE,THIN_ET_Rsh_cat_c2_OW_ST,THIN,Rsh_cat_c2_OW_ST,U_shape,n/a,1.2522,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
CATHODE_ET_Rcat_cn_3_OW_ST,CATHODE,THIN_ET_Rcat_cn_3_OW_ST,THIN,Rcat_cn_3_OW_ST,inverted_U,n/a,1.3884,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
CATHODE_ET_Rcat_cn_3,CATHODE,THIN_ET_Rcat_cn_3,THIN,Rcat_cn_3,complex_nonmonotonic,n/a,0.7151,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
CATHODE_ET_Rcat_cn_2_OW_ST,CATHODE,THIN_ET_Rcat_cn_2_OW_ST,THIN,Rcat_cn_2_OW_ST,complex_nonmonotonic,n/a,1.7988,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
CATHODE_ET_Rcat_cn_2,CATHODE,THIN_ET_Rcat_cn_2,THIN,Rcat_cn_2,inverted_U,n/a,0.653,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
CATHODE_ET_Rc_cat_ct2_OW_ST,CATHODE,THIN_ET_Rc_cat_ct2_OW_ST,THIN,Rc_cat_ct2_OW_ST,U_shape,n/a,0.8999,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vds_max,FIC,TOPSIN_ET_DC_RF_Vds_max,TOPSIN,DC_RF_Vds_max,complex_nonmonotonic,n/a,1.1072,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Vdg_max_0p1mA,SIN,THIN_ET_DC_RF_Vdg_max_0p1mA,THIN,DC_RF_Vdg_max_0p1mA,threshold,n/a,0.4031,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
FIC_ET_DC_RF_Vdg_max_0p1mA,FIC,THIN_ET_DC_RF_Vdg_max_0p1mA,THIN,DC_RF_Vdg_max_0p1mA,complex_nonmonotonic,n/a,1.2209,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vdg_max_0p1,FIC,TOPSIN_ET_DC_RF_Vdg_max_0p1,TOPSIN,DC_RF_Vdg_max_0p1,threshold,negative,0.511,1/5,0/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 0/5 folds.
THIN_ET_DC_RF_Vdg_max,THIN,TOPSIN_ET_DC_RF_Vdg_max,TOPSIN,DC_RF_Vdg_max,inverted_U,n/a,1.6296,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Vdg_max,SIN,TOPSIN_ET_DC_RF_Vdg_max,TOPSIN,DC_RF_Vdg_max,flat,n/a,0.3486,2/5,2/5,INCONCLUSIVE,Main-split shape is 'flat' -- no stable evidence.
SIN_ET_DC_RF_Vdg_max,SIN,THIN_ET_DC_RF_Vdg_max,THIN,DC_RF_Vdg_max,inverted_U,n/a,0.9997,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vdg_max,FIC,SIN_ET_DC_RF_Vdg_max,SIN,DC_RF_Vdg_max,complex_nonmonotonic,n/a,0.4179,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vg_gm_max,FIC,TOPSIN_ET_DC_RF_Vg_gm_max,TOPSIN,DC_RF_Vg_gm_max,inverted_U,n/a,1.1462,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
FIC_ET_DC_RF_Vg_gm_max,FIC,THIN_ET_DC_RF_Vg_gm_max,THIN,DC_RF_Vg_gm_max,flat,n/a,0.3454,2/5,2/5,INCONCLUSIVE,Main-split shape is 'flat' -- no stable evidence.
FIC_ET_DC_RF_Vds_max_0p1mA,FIC,THIN_ET_DC_RF_Vds_max_0p1mA,THIN,DC_RF_Vds_max_0p1mA,U_shape,n/a,1.0698,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Vds_max_0p1,SIN,TOPSIN_ET_DC_RF_Vds_max_0p1,TOPSIN,DC_RF_Vds_max_0p1,flat,n/a,0.348,0/5,0/5,INCONCLUSIVE,Main-split shape is 'flat' -- no stable evidence.
FIC_ET_DC_RF_Vds_max_0p1,FIC,SIN_ET_DC_RF_Vds_max_0p1,SIN,DC_RF_Vds_max_0p1,complex_nonmonotonic,n/a,0.847,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
THIN_ET_DC_RF_Vds_max,THIN,TOPSIN_ET_DC_RF_Vds_max,TOPSIN,DC_RF_Vds_max,U_shape,n/a,2.0222,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Vds_max,SIN,TOPSIN_ET_DC_RF_Vds_max,TOPSIN,DC_RF_Vds_max,complex_nonmonotonic,n/a,0.7168,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_TR_1F,FIC,SIN_ET_TR_1F,SIN,TR_1F,monotonic,positive,0.9352,0/5,1/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 1/5 folds.
BRGM_ET_TR_1F,BRGM,TOPSIN_ET_TR_1F,TOPSIN,TR_1F,complex_nonmonotonic,n/a,1.5332,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
BRGM_ET_TR_1F,BRGM,SIN_ET_TR_1F,SIN,TR_1F,complex_nonmonotonic,n/a,1.5482,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
BRGM_ET_TR_1F,BRGM,FIC_ET_TR_1F,FIC,TR_1F,complex_nonmonotonic,n/a,1.3176,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
BRGM_ET_Rc_F_AB_2,BRGM,THIN_ET_Rc_F_AB_2,THIN,Rc_F_AB_2,complex_nonmonotonic,n/a,1.4095,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
SIN_ET_lkg_SY8_80,SIN,TOPSIN_ET_lkg_SY8_80,TOPSIN,lkg_SY8_80,complex_nonmonotonic,n/a,2.002,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_lkg_SY8_80,FIC,TOPSIN_ET_lkg_SY8_80,TOPSIN,lkg_SY8_80,inverted_U,n/a,1.8974,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
FIC_ET_lkg_SY8_80,FIC,SIN_ET_lkg_SY8_80,SIN,lkg_SY8_80,inverted_U,n/a,2.1301,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
BRGM_ET_lkg_SY8_80,BRGM,TOPSIN_ET_lkg_SY8_80,TOPSIN,lkg_SY8_80,complex_nonmonotonic,n/a,1.5968,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
BRGM_ET_lkg_SY8_80,BRGM,SIN_ET_lkg_SY8_80,SIN,lkg_SY8_80,complex_nonmonotonic,n/a,1.5968,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
BRGM_ET_lkg_SY8_80,BRGM,FIC_ET_lkg_SY8_80,FIC,lkg_SY8_80,complex_nonmonotonic,n/a,1.5968,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
SIN_ET_lkg_SY07_10,SIN,TOPSIN_ET_lkg_SY07_10,TOPSIN,lkg_SY07_10,complex_nonmonotonic,n/a,2.1482,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vg_optt1,FIC,THIN_ET_DC_RF_Vg_optt1,THIN,DC_RF_Vg_optt1,complex_nonmonotonic,n/a,1.178,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,FIC,THIN_ET_DC_RF_Vg_max_Vd_0p1mA,THIN,DC_RF_Vg_max_Vd_0p1mA,threshold,negative,0.7944,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
FIC_ET_DC_RF_Vg_max_Vd_0p1,FIC,TOPSIN_ET_DC_RF_Vg_max_Vd_0p1,TOPSIN,DC_RF_Vg_max_Vd_0p1,complex_nonmonotonic,n/a,0.9091,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vg_max_Vd_0p1,FIC,SIN_ET_DC_RF_Vg_max_Vd_0p1,SIN,DC_RF_Vg_max_Vd_0p1,inverted_U,n/a,1.6436,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
THIN_ET_DC_RF_Vg_max_Vd,THIN,TOPSIN_ET_DC_RF_Vg_max_Vd,TOPSIN,DC_RF_Vg_max_Vd,complex_nonmonotonic,n/a,1.3148,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vg_max_Vd,FIC,TOPSIN_ET_DC_RF_Vg_max_Vd,TOPSIN,DC_RF_Vg_max_Vd,complex_nonmonotonic,n/a,0.9091,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
FIC_ET_DC_RF_Vg_max_Vd,FIC,THIN_ET_DC_RF_Vg_max_Vd,THIN,DC_RF_Vg_max_Vd,complex_nonmonotonic,n/a,0.6577,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_lkg_SY07_10,FIC,TOPSIN_ET_lkg_SY07_10,TOPSIN,lkg_SY07_10,inverted_U,n/a,2.0095,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
BRGM_ET_lkg_SY07_10,BRGM,TOPSIN_ET_lkg_SY07_10,TOPSIN,lkg_SY07_10,complex_nonmonotonic,n/a,1.6933,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
BRGM_ET_lkg_SY07_10,BRGM,SIN_ET_lkg_SY07_10,SIN,lkg_SY07_10,complex_nonmonotonic,n/a,1.6933,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
BRGM_ET_lkg_SY07_10,BRGM,FIC_ET_lkg_SY07_10,FIC,lkg_SY07_10,complex_nonmonotonic,n/a,1.6933,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
THIN_ET_lkg_C300,THIN,TOPSIN_ET_lkg_C300,TOPSIN,lkg_C300,complex_nonmonotonic,n/a,1.4149,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
BRGM_ET_lkg_C300,BRGM,TOPSIN_ET_lkg_C300,TOPSIN,lkg_C300,complex_nonmonotonic,n/a,1.0392,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
BRGM_ET_lkg_C300,BRGM,THIN_ET_lkg_C300,THIN,lkg_C300,complex_nonmonotonic,n/a,1.0392,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
BRGM_ET_lkg_C200,BRGM,THIN_ET_lkg_C200,THIN,lkg_C200,complex_nonmonotonic,n/a,1.3046,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
BRGM_ET_i5021_2,BRGM,THIN_ET_i5021_2,THIN,i5021_2,complex_nonmonotonic,n/a,1.1047,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
FIC_ET_DC_RF_Vp_01,FIC,THIN_ET_DC_RF_Vp_01,THIN,DC_RF_Vp_01,inverted_U,n/a,0.7603,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Vg_optt3,SIN,THIN_ET_DC_RF_Vg_optt3,THIN,DC_RF_Vg_optt3,U_shape,n/a,1.3127,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vg_optt3,FIC,SIN_ET_DC_RF_Vg_optt3,SIN,DC_RF_Vg_optt3,U_shape,n/a,0.9765,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vg_optt2,FIC,SIN_ET_DC_RF_Vg_optt2,SIN,DC_RF_Vg_optt2,inverted_U,n/a,0.9358,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
BRGM_ET_F_AB,BRGM,THIN_ET_F_AB,THIN,F_AB,complex_nonmonotonic,n/a,1.6458,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
THIN_ET_Cap_C300,THIN,TOPSIN_ET_Cap_C300,TOPSIN,Cap_C300,complex_nonmonotonic,n/a,0.7433,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
BRGM_ET_Cap_C300,BRGM,TOPSIN_ET_Cap_C300,TOPSIN,Cap_C300,complex_nonmonotonic,n/a,1.174,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
