parameter_A,parameter_B,evidence_label,interaction_incremental_r2,fold_reproducibility,quality_score,evidence_tier_A,evidence_tier_B,admission_rule
TOPSIN_ET_lkg_SY8_80,TOPSIN_ET_Load_Pull_Id_ini,STRONG,0.0587,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vg_gm_max,TOPSIN_ET_R_f_hr_3,STRONG,0.0812,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_Probe_Number,MEASURE_ET_lkg_CapFICM1,MODERATE,0.0158,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_neg_FPSD3p2,MEASURE_ET_Rcat_cn_2,STRONG,0.0917,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_SMALL_Vbgd_0p1,MEASURE_ET_DC_SMALL_Vg_max_Vd,STRONG,0.0575,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_HIRS,MEASURE_ET_DC_SMALL_Ids_m0p2,STRONG,0.0511,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_TR_1F,FIC_ET_lkg_SY07_10,MODERATE,0.0151,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_OG142_GN,FIC_ET_DC_RF_Vg_max_Vd_0p1mA,STRONG,0.0359,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_70,MEASURE_ET_LT_SEC_Ileak_m10V_mA_mm,MODERATE,0.1177,4/5,4.5,HIGH_EVIDENCE,LOW_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_PAD_10,MaskSetSupplyChipsCount,MODERATE,0.0568,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Vg_max_Vd,MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,STRONG,0.0865,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,THIN_ET_Ran_con_2,STRONG,0.1109,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_70,MEASURE_ET_DC_PIV_Idss_QP1,MODERATE,0.0551,4/5,4.5,HIGH_EVIDENCE,LOW_EVIDENCE,G2_hub_feature_edge
THIN_ET_lkg_C300,MEASURE_ET_lkg_100,STRONG,0.2116,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_R414,MEASURE_ET_DC_PIV_Gate_Lag_0,STRONG,0.1511,5/5,5.7,HIGH_EVIDENCE,LOW_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Vbin_gs,FIC_ET_sh_f_tn_23,STRONG,0.1089,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Vbpin,TOPSIN_ET_C100CapUSV,STRONG,0.0964,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_USV_Cap,MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,MODERATE,0.0513,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,MEASURE_ET_LT_SEC_Vg_Id_min,STRONG,0.0515,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Vbkdn_Cap100_Long,MEASURE_ET_DC_RF_Vbin_gs,STRONG,0.0727,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RD_K,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,STRONG,0.0281,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_SY07_10,MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,STRONG,0.1678,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Cap3pf_0,TOPSIN_ET_lkg_CapFICM1,STRONG,0.1076,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_S11dB_10GHz,MaskSetSupplyChipsCount,MODERATE,0.0303,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Vbgs_0p1,SIN_ET_DC_RF_Vg_max_Vd,STRONG,0.0404,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_5,MEASURE_ET_DC_RF2_MAG_26GHz,MODERATE,0.0411,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SMALL_Imax,MEASURE_ET_C300M1B_0,STRONG,0.0817,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rcat_cn_1_OW_ST,MEASURE_ET_RF_Modeling_S12ang_10GHz,STRONG,0.0921,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_CapFICM1,MEASURE_ET_DC_RF_K_W,STRONG,0.0871,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_an_ct2,THIN_ET_C300_0,STRONG,0.0728,5/5,5.7,HIGH_EVIDENCE,LOW_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF2_S21ang_26GHz,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,STRONG,0.0396,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_CapPARCAP,MEASURE_ET_VIA_KLV,STRONG,0.0746,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_R314,MEASURE_ET_lkg_50,STRONG,0.0836,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_USV_Cap,FIC_ET_R_f_hr_3,MODERATE,0.0249,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_PAD_10,MEASURE_ET_RF_Modeling_Ls,MODERATE,0.0665,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Vbgd1_Vd3,MEASURE_ET_Rc_f_tn_23,MODERATE,0.0149,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,MEASURE_ET_DC_PIV_Ids0_QP1,STRONG,0.0632,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Vds_max,MEASURE_ET_DC_RF_Max_S11_Freq_L2180,STRONG,0.036,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_Vp_1mA,OHMIC_ET_R314,STRONG,0.1168,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_HIRS,THIN_ET_TF_AB_2,MODERATE,0.0419,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,TOPSIN_ET_DC_RF_Vt_gd,MODERATE,0.0206,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_R414,MEASURE_ET_Rcat_cn_3,MODERATE,0.0827,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Cap3pf_0,MEASURE_ET_DC_SEC_Vp_1mA,STRONG,0.0433,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_OG144,MEASURE_ET_lkg_50,STRONG,0.0982,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vp_01,MEASURE_ET_lkg_CapPARCAP,STRONG,0.086,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_lkg_C450pf,STRONG,0.076,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIN_FIN_Alignment_FIN_to_ohmic_alignment,MEASURE_ET_C300FB_0,STRONG,0.0353,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_CapFICM1,CATHODE_ET_Rcat_cn_3_OW_ST,STRONG,0.1295,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_RF_Modeling_S22ang_10GHz,MEASURE_ET_C20_0,STRONG,0.0636,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_R_f_hr_3,MEASURE_ET_lkg_100_at20V,STRONG,0.0273,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
OHMIC_ET_Ran_con_3,MEASURE_ET_DC_RF_Vbin_gs,MODERATE,0.0274,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_neg_FPSD3p2,MEASURE_ET_lkg_50_at20V,STRONG,0.0308,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_CapPARCAP_0,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,STRONG,0.0726,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_Stress_Vp_after,MEASURE_ET_Rcat_cn_2,STRONG,0.0814,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_R414,THIN_ET_TF_AB_1,STRONG,0.0633,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_GATE_ET_RGAN2,THIN_ET_lkg_5,MODERATE,0.0291,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Vbgd1_Vd3,TOPSIN_ET_DC_SMALL_Vbgd1,STRONG,0.0283,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_KLV_F_AB_4u,SIN_GATE_ET_Rc_an_ct2,STRONG,0.0669,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_OG142_GN,THIN_ET_DC_RF_Imax,STRONG,0.0445,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_GATE_ET_Rc_OG142_GN,MEASURE_ET_DC_SEC_X_Vboff_Id,MODERATE,0.014,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,MEASURE_ET_LT_SEC_Ileak_m9p5V_mA_mm,STRONG,0.1405,5/5,5.7,HIGH_EVIDENCE,LOW_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_SY8_80,TOPSIN_ET_DC_RF_Vbgs_0p1,STRONG,0.096,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_SMALL_Vbgs1,SIN_ET_DC_RF_Vbin_gs,MODERATE,0.0391,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_Cap1,TOPSIN_ET_lkg_C300pf,STRONG,0.125,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_USV_Cappf_0,THIN_ET_lkg_100_at20V,STRONG,0.0378,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
ANODE_ET_Ran_con_1,TOPSIN_ET_lkg_Cap3,STRONG,0.0887,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rc_OG142_GN,STRONG,0.0785,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_Diode_Rs_9p5,MEASURE_ET_lkg_50,STRONG,0.0805,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_SY8_80,OHMIC_ET_OHMC,MODERATE,0.052,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rcat_cn_1_OW_ST,TOPSIN_ET_CapFICM1,STRONG,0.0884,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_lkg_100_at20V,MEASURE_ET_RF_Modeling_Gm_0_W,STRONG,0.0963,5/5,5.7,HIGH_EVIDENCE,LOW_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,MEASURE_ET_Rc_cat_ct2_OW_ST,STRONG,0.1342,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Vg_optt1,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,STRONG,0.0545,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Imax,FIC_ET_DC_PIV_Drain_Lag_1,STRONG,0.0971,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Imax,FIC_ET_R_f_tn_1,STRONG,0.0724,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TFRP_ET_Rsh_TFR2,THIN_ET_lkg_100_at20V,STRONG,0.063,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_Vds_max,MEASURE_ET_HIRS,STRONG,0.0375,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TFRP_ET_Rsh_TFR2,SIN_ET_DC_RF_Vbgd_0p1,STRONG,0.079,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIN_FIN_Alignment_FIN_to_ohmic_alignment,TOPSIN_ET_DC_RF_Vg_max_Vd,STRONG,0.0587,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,MEASURE_ET_DC_Big_Vg_optt2,STRONG,0.0648,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_C300,MEASURE_ET_lkg_5,STRONG,0.1038,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_GATE_ET_Rc_an_ct2,MEASURE_ET_lkg_100_at20V,STRONG,0.0574,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_second_SD3p5,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,STRONG,0.0979,5/5,5.7,LOW_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SMALL_Vdg_max_0p1,MaskSetSupplyChipsCount,STRONG,0.084,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,MODERATE,0.0612,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rcat_cn_3,TOPSIN_ET_R_f_hr_3,STRONG,0.1225,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_lkg_5,MEASURE_ET_RF_Modeling_Ft,STRONG,0.0683,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_Stress_Id_stress_after,SIN_ET_lkg_SY8_80,MODERATE,0.0128,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_Cap1pf,MODERATE,0.1429,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_SY8_80,CATHODE_ET_Rcat_cn_3_OW_ST,STRONG,0.0661,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rc_f_hr_23,MEASURE_ET_DC_SMALL_Ids_m0p2,MODERATE,0.09,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_R414,CATHODE_ET_Rc_cat_ct2,MODERATE,0.0656,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_RF_Modeling_K,TOPSIN_ET_lkg_C450pf,STRONG,0.1018,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_Cap_USV,SIN_ET_DC_RF_Vp_1,MODERATE,0.0603,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Id_Vbon_min,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,MODERATE,0.0445,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_VIA_KLV,MEASURE_ET_Rcat_cn_2,STRONG,0.0772,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vg_gm_max,MEASURE_ET_DC_RF_Gm_max,STRONG,0.044,5/5,6.0,HIGH_EVIDENCE,MEDIUM_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Ids_m0p2,THIN_ET_DC_RF_Imax,STRONG,0.0637,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,MEASURE_ET_C100,STRONG,0.1055,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_GATE_ET_Rc_an_ct2,TOPSIN_ET_Cap3pf_0,STRONG,0.1112,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rsh_cat_c2,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,MODERATE,0.0618,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_RF_Modeling_S21_19G_Before,TOPSIN_ET_DC_PIV_Ids0_QP3,STRONG,0.1096,5/5,5.7,LOW_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Vbgd1,THIN_ET_DC_RF_Vp_1,STRONG,0.1431,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_Load_Pull_Gss,STRONG,0.1279,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_SMALL_Vbgd_0p1,TOPSIN_ET_C100CapPARCAP,MODERATE,0.0426,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_10,FIC_ET_DC_RF_Vt_gd,MODERATE,0.0407,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rc_OG142,TOPSIN_ET_lkg_CapFICM1,STRONG,0.0987,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_R414,MESA_ET_Vbkd,STRONG,0.0759,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_10,FIC_ET_DC_RF_Id_gm_max,STRONG,0.0413,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
CATHODE_ET_Rcat_cn_2,TOPSIN_ET_I_5,MODERATE,0.0205,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Rc_f_tn_23,MEASURE_ET_LT_SEC_Vbgd1_Vd3,STRONG,0.032,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Imax,MEASURE_ET_DC_PIV_Drain_Lag_0,STRONG,0.1038,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_C100CapPARCAP,MEASURE_ET_DC_PIV_Drain_Lag_0,STRONG,0.0867,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_CapFICM1,TOPSIN_ET_R_f_hr_2,STRONG,0.0701,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Imax,MEASURE_ET_RF_Modeling_Fmax,MODERATE,0.0157,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_R_f_hr_3,SIN_ET_DC_RF_Vbin_gs,STRONG,0.0748,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Vbgs_0p01,TOPSIN_ET_lkg_Cap1,STRONG,0.1061,5/5,6.0,HIGH_EVIDENCE,MEDIUM_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Cap_USV,MEASURE_ET_HIRS,MODERATE,0.0996,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rc_cat_ct2,TOPSIN_ET_R514,STRONG,0.0648,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_C100Cap1pf,STRONG,0.083,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,THIN_ET_DC_RF_Vdg_max,STRONG,0.0321,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vg_optt,THIN_ET_Rc_OG142,MODERATE,0.0313,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,SIN_ET_DC_RF_Vg_optt3,STRONG,0.1035,5/5,6.0,HIGH_EVIDENCE,MEDIUM_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_C_CAT_2,MEASURE_ET_lkg_100_at20V,STRONG,0.0921,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Load_Pull_Pout_W_mm_last,SIN_ET_DC_RF_Vbgd_0p1,MODERATE,0.0261,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MaskSetSupplyChipsCount,FIC_ET_DC_RF_Vds_max,MODERATE,0.0571,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Rc_f_tn_23,MEASURE_ET_Load_Pull_Gss,STRONG,0.0588,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg,MEASURE_ET_C20_0,STRONG,0.059,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_C_AN_2,THIN_ET_DC_RF_Imax,MODERATE,0.0375,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_RGAN2,CATHODE_ET_Rcat_cn_3_OW_ST,MODERATE,0.0892,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,STRONG,0.1119,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_CF_S22_Ph_L1018,TOPSIN_ET_CapPARCAP_0,MODERATE,0.0238,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Cap3pf,THIN_ET_DC_RF_Vg_optt3,STRONG,0.12,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_CapPARCAP_0,FIC_ET_Gm_m2,MODERATE,0.0504,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_PIV_Ids0_QP3,THIN_ET_DC_RF_n_gd,STRONG,0.0843,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m9p5V_mA_mm,SIN_ET_lkg_SY8_80,STRONG,0.1792,5/5,5.7,LOW_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_70,MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,STRONG,0.0614,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_CapFICM1,TOPSIN_ET_DC_RF_Vbgs_0p1,STRONG,0.1299,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIN_FIN_Alignment_FIN_to_ohmic_alignment,MEASURE_ET_C385pf,STRONG,0.0698,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_SMALL_Vbgs1,MEASURE_ET_lkg_CapFICM1,STRONG,0.0834,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
