parameter_A,parameter_B,channels,n_channels,source,evidence_tier_A,evidence_tier_B
MEASURE_ET_DC_RF_Vg_max_Vd_0p1,MEASURE_ET_VIA_KLV_2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_C100C500pf,BRGM_ET_F_AB,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_Vboff_2_1,FIC_ET_DC_RF_Vbgd_0p1,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_TF_AB_2,MEASURE_ET_DC_SEC_Vboff_2_1,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_pos,MEASURE_ET_DC_SEC_Vboff_2_1,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_Big_Idss,TOPSIN_ET_lkg_C175pf,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_Rcat_cn_1,TOPSIN_ET_DC_RF_Vboff,A_high_x_high,1,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
THIN_ET_Rcat_cn_1,TOPSIN_ET_DC_RF_Vbgs_0p1,A_high_x_high,1,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
THIN_ET_Rcat_cn_1,TOPSIN_ET_DC_RF_Vbgs1,A_high_x_high,1,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
THIN_ET_Rcat_cn_1,TOPSIN_ET_DC_RF_Vbgd1,A_high_x_high,1,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
THIN_ET_Rcat_cn_1,TOPSIN_ET_DC_RF_Imax,A_high_x_high,1,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_SEC_X_Vg_at_I2_neg_FPSD3p2,MEASURE_ET_DC_SEC_S_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_DC_RF_Ids_m0p2,TOPSIN_ET_R314,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_R_f_tn_1,TOPSIN_ET_R314,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_S_Ids_max_norm_FPSD3p2,TOPSIN_ET_R314,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_MAG_35GHz_W,MEASURE_ET_DC_SEC_S_Ids_max_norm_FPSD3p2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C_CAT_2,MEASURE_ET_DC_RD_Ft,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SMALL_Vdg_max,MEASURE_ET_DC_SEC_X_Vg_at_I2_neg_FPSD3p2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C_CAT_2,SIN_GATE_ET_OHMIC_conc,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_FPSD3p2,MEASURE_ET_DC_SEC_X_Ids_max_norm_SD3p5,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_FPSD3p2,MEASURE_ET_DC_SEC_X_Ids_max_FPSD3p2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_FPSD3p2,MEASURE_ET_DC_RF_Vg_max_Vd_0p1,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_R_f_hr_1,MEASURE_ET_RF_Modeling_ids_m0p2_W,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
FIC_ET_GT_lin25,MEASURE_ET_RF_Modeling_S21_19G_After,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm_FPSD3p2,MEASURE_ET_DC_RF_Max_S11_Ph_L1018,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm,MEASURE_ET_DC_RD_Ft,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C_CAT_2,MEASURE_ET_RF_Modeling_Vd_stress,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_Rc_f_hr_23,TOPSIN_ET_R414,A_high_x_high,1,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
THIN_ET_Rc_f_hr_23,TOPSIN_ET_R114,A_high_x_high,1,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
THIN_ET_Rc_f_hr_23,TOPSIN_ET_TR_1F,A_high_x_high,1,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
THIN_ET_Rc_f_hr_23,TOPSIN_ET_OHMC,A_high_x_high,1,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
THIN_ET_Rc_f_hr_23,TOPSIN_ET_Load_Pull_Id_ini,A_high_x_high,1,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
TOPSIN_ET_KLV_F_AB_4u,THIN_ET_Rc_f_hr_23,A_high_x_high,1,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
THIN_ET_Rc_f_hr_23,TOPSIN_ET_I_5,A_high_x_high,1,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
TOPSIN_ET_Gm_max,THIN_ET_Rc_f_hr_23,A_high_x_high,1,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
TOPSIN_ET_Gm_m2,THIN_ET_Rc_f_hr_23,A_high_x_high,1,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
TOPSIN_ET_DC_RF_Vg_gm_max,THIN_ET_Rcat_cn_1,A_high_x_high,1,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
THIN_ET_Rcat_cn_1,TOPSIN_ET_DC_RF_Vds_max,A_high_x_high,1,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
TOPSIN_ET_Ids_m2,MEASURE_ET_DC_RF_CF_S11_Ph_L1018,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_RF_Modeling_Cgs,MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm_FPSD3p2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C_CAT_2,MEASURE_ET_DC_SEC_X_Ids_max_norm_SD3p5,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C_CAT_2,MEASURE_ET_DC_SEC_X_Vg_at_I2_neg_FPSD3p2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C_CAT_2,MEASURE_ET_DC_SEC_Vboff_2_1,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C_CAT_2,FIC_ET_GT_lin25,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_S22dB_26GHz,TOPSIN_ET_R_f_hr_1,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_Load_Pull_Pout_W_last,THIN_ET_TFR_AB,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_Vdg_max,MEASURE_ET_DC_SEC_X_Vg_at_I2_neg_FPSD3p2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_SMALL_Idss,TOPSIN_ET_R314,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
FIC_ET_DC_RF_Gm_0,FIC_ET_DC_RF_n_gs,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C_CAT_2,FIC_ET_DC_RF_n_gs,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm,TOPSIN_ET_DC_SMALL_Vbgs_0p1,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_SMALL_Vbgs_0p1,ANODE_ET_C_AN_2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_TFR_AB,ANODE_ET_C_AN_2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C_CAT_2,TOPSIN_ET_R_f_hr_1,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_C100C300pf,TOPSIN_ET_DC_PIV_Gate_Lag_1,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_TFR_AB,TOPSIN_ET_R314,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RD_Vg_Vbon_min,TOPSIN_ET_R314,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_RF_Modeling_Stress_time,MEASURE_ET_DC_PIV_Ids1_QP2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_SMALL_Vboff,SIN_Thickness_SiN_Thickness,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_SMALL_Vboff,MEASURE_ET_DC_Big_Vg_max_Vd,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_Vg_Vbon_max,TOPSIN_ET_R314,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_Vdg_max,TOPSIN_ET_R314,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
FIC_ET_DC_RF_n_gd,TOPSIN_ET_R314,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
FIC_ET_DC_RF_n_gd,MEASURE_ET_DC_SEC_X_Vg_at_I2_neg_FPSD3p2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_S_Ids_max_norm_FPSD3p2,THIN_ET_TFR_AB,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_SMALL_Ids_m0p2,MEASURE_ET_DC_RD_Vg_Vbon_min,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RD_Vg_Vbon_min,MEASURE_ET_DC_RD_Ft,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C_CAT_2,MEASURE_ET_DC_Stress_Vg_gm_max_after,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_S_Ids_max_norm_FPSD3p2,FIC_ET_Vdg_max,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm,MEASURE_ET_R_f_tn_1,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_R_f_hr_1,MEASURE_ET_Vbkdn_CapBig,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_X_Vg_at_I2_neg_FPSD3p2,MEASURE_ET_DC_RD_Ft,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_S11ang_26GHz_W,MEASURE_ET_DC_RD_Ft,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_S11ang_26GHz_W,ANODE_ET_C_AN_2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_TFR_AB,TOPSIN_ET_DC_RF_Ids_m0p2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_Vg_max_Vd_0p1,TOPSIN_ET_C300_0,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_X_Ids_max_FPSD3p2,MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg1_FPSD3p2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_Rc_cat_ct2,MEASURE_ET_DC_SEC_S_Ids_max_FPSD3p2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm_FPSD3p2,FIC_ET_R_f_hr_1,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
FIC_ET_Vd_at_Id_cut_cond,MEASURE_ET_DC_SEC_X_Ids_max_FPSD3p2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SMALL_Vdg_max,MEASURE_ET_Load_Pull_PhL_meas,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_sh_GA142_GN,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_neg,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_S22dB_26GHz,THIN_ET_DC_RF_Vbgs_0p01,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_Load_Pull_Freq,TOPSIN_ET_R314,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_sh_GA142_GN,TOPSIN_ET_R314,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm_FPSD3p2,MEASURE_ET_RF_Modeling_ids_m0p2_W,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SMALL_Vdg_max,SIN_ET_DC_RF_n_gd,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_TFR_AB,MEASURE_ET_RF_Modeling_Vd_stress,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_SMALL_Vboff,MEASURE_ET_DC_SEC_X_Ids_max_FPSD3p2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_SMALL_Vboff,MEASURE_ET_RF_Modeling_Rgd_err,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
BRGM_ET_i5021_3,BRGM_ET_Rc_F_AB_2,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_FPSD3p2,TOPSIN_ET_Ids_m2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_FPSD3p2,TOPSIN_ET_C100C300pf,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_S22dB_26GHz,TOPSIN_ET_Ids_m2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_Vboff_2_1,MEASURE_ET_DC_SEC_S_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_sh_GA142_GN,MEASURE_ET_DC_Big_Vg_max_Vd,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm_FPSD3p2,TOPSIN_ET_GC_Igs,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_Id_gm_max,SIN_ET_DC_RF_Vg_optt3,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_DC_RF_Vdg_max_0p1mA,MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_RF_Modeling_Cgs,THIN_ET_TFR_AB,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_RF_Modeling_Cgs,SIN_GATE_ET_R214,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_RF_Modeling_Cgs,MEASURE_ET_TFR_AB,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
BRGM_ET_Rc_F_AB_2,BRGM_ET_lkg_SY07_10,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_SMALL_Vbgs_0p01,BRGM_ET_Probe_Number,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
BRGM_ET_Probe_Number,TOPSIN_ET_DC_RF_Id_gm_max,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_PIV_Gate_Lag_0,BRGM_ET_Probe_Number,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
BRGM_ET_Probe_Number,TOPSIN_ET_Cap2pf_0,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_C300_0,BRGM_ET_Probe_Number,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_C100C500pf,BRGM_ET_Probe_Number,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_lkg_C300,BRGM_ET_Probe_Number,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_lkg_50_at20V,BRGM_ET_Probe_Number,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_sh_GA142_GN,MEASURE_ET_C100C500pf,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_SMALL_Vbgs_0p1,THIN_ET_TFR_AB,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_S22dB_26GHz,FIC_ET_GT_lin25,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_FPSD3p2,MEASURE_ET_DC_SEC_X_Vg_at_I2_neg_FPSD3p2,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_FPSD3p2,MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_RF_Modeling_Rd,MEASURE_ET_DC_RD_Ft,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_CF_S11_Ph_L2180,FIC_ET_DC_RF_Vbin_gd,M3_tree_path_cooccurrence_medium_only,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
BRGM_ET_Rc_F_AB_2,MEASURE_ET_CapFICM1_0,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
BRGM_ET_Rc_F_AB_2,MEASURE_ET_Cap1pf_0,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
BRGM_ET_Rc_F_AB_2,MEASURE_ET_C300pf_0,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
BRGM_ET_Rc_F_AB_2,MEASURE_ET_C300M1B,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
BRGM_ET_Rc_F_AB_2,MEASURE_ET_C100CapFICBRGM,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_C100Cap3pf,BRGM_ET_Rc_F_AB_2,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
BRGM_ET_Rc_F_AB_2,CATHODE_ET_Rcat_cn_2_OW_ST,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
GATE2_ET_Ids2_Gate_recess_current,BRGM_ET_Rc_F_AB_2,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
FIC_ET_OHMC,BRGM_ET_Rc_F_AB_2,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
BRGM_ET_i5021_1,BRGM_ET_Rc_F_AB_2,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
BRGM_ET_TR_1F,BRGM_ET_Rc_F_AB_2,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_lkg_Cap1,BRGM_ET_Probe_Number,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_Rc_OG142_GN,BRGM_ET_Probe_Number,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_Load_Pull_IG_comp_Last_uA,BRGM_ET_Probe_Number,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
BRGM_ET_Probe_Number,TOPSIN_ET_DC_SMALL_Vt_gs,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
BRGM_ET_Probe_Number,TOPSIN_ET_DC_SMALL_Vp_1,M4_shared_interaction_neighborhood,1,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
